alpha,mu,participation,promote,oppose
0.0,0.0,0.0,0.7,0.0
0.0,25.0,1.0,0.0,0.0
0.02,49.0,1.0,0.0,0.13
0.04,48.0,1.0,0.0,0.13
0.0,50.0,1.0,0.0,0.13
0.1,20.0,1.0,0.0,0.0
0.04,23.0,1.0,0.0,0.0
0.1,45.0,1.0,0.0,0.13
0.06,22.0,1.0,0.0,0.0
0.12,19.0,1.0,0.0,0.0
0.08,46.0,1.0,0.0,0.13
0.02,50.0,1.0,0.0,0.13
0.02,24.0,1.0,0.0,0.0
0.0,1.0,0.0,0.73,0.0
0.06,47.0,1.0,0.0,0.13
0.12,44.0,1.0,0.0,0.13
0.04,49.0,1.0,0.0,0.13
0.04,24.0,1.0,0.0,0.0
0.1,46.0,1.0,0.0,0.13
0.0,26.0,1.0,0.0,0.0
0.08,21.0,1.0,0.0,0.0
0.02,0.0,0.0,0.73,0.0
0.16,17.0,1.0,0.0,0.0
0.12,20.0,1.0,0.0,0.0
0.16,42.0,1.0,0.0,0.13
0.04,0.0,0.0,0.69,0.0
0.1,21.0,1.0,0.0,0.0
0.18,16.0,1.0,0.0,0.0
0.06,23.0,1.0,0.0,0.0
0.06,48.0,1.0,0.0,0.13
0.0,2.0,0.0,0.64,0.0
0.08,47.0,1.0,0.0,0.13
0.1,47.0,1.0,0.0,0.2
0.08,22.0,1.0,0.0,0.0
0.12,45.0,1.0,0.0,0.13
0.04,50.0,1.0,0.0,0.2
0.14,43.0,1.0,0.0,0.13
0.04,25.0,1.0,0.0,0.0
0.02,25.0,1.0,0.0,0.0
0.18,41.0,1.0,0.0,0.13
0.14,18.0,1.0,0.0,0.0
0.02,1.0,0.0,0.5800000000000001,0.0
0.2,40.0,1.0,0.0,0.13
0.0,27.0,1.0,0.0,0.0
0.16,18.0,1.0,0.0,0.0
0.22,14.0,1.0,0.0,0.0
0.04,1.0,0.0,0.73,0.0
0.12,21.0,1.0,0.0,0.0
0.06,49.0,1.0,0.0,0.2
0.16,43.0,1.0,0.0,0.13
0.18,17.0,1.0,0.0,0.0
0.12,46.0,1.0,0.0,0.2
0.08,23.0,1.0,0.0,0.0
0.04,26.0,1.0,0.0,0.0
0.2,15.0,1.0,0.0,0.0
0.06,24.0,1.0,0.0,0.0
